birthyear,birthSex,ethnicityomb,raceomb_002,dscore,Mn_RT_all_3467,N_3467,PCT_error_3467,pct_300,pct_400,pct_2K,pct_3K,pct_4K,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,Mn_RT_all_3,Mn_RT_all_4,Mn_RT_all_6,Mn_RT_all_7,Mn_RT_correct_3,Mn_RT_correct_4,Mn_RT_correct_6,Mn_RT_correct_7,N_ERROR_3,N_ERROR_4,N_ERROR_6,N_ERROR_7,countrycit_num,countryres_num,edu,edu_14,politicalid_7,religion2014,religionid
1991,2,1,6,-0.777889221,774.2833333,120,1.666666667,0,0,0,0,0,1,4,3,3,2,2,11,2,1,1,1,0,715.85,665.2,948.8,825.325,715.85,653.7179487,948.8,823.5897436,0,1,0,1,1,1,9,9,7,7,1
1963,2,2,6,-0.771940718,1804.4,120,1.666666667,0,0,15.83333333,5.833333333,4.166666667,4,3,4,5,2,10,11,1,1,5,1,0,2236,1428.05,1512.25,944.275,2236,1428.05,1489.631579,918.5128205,0,0,1,1,1,1,9,9,6,7,1
1984,2,3,6,-0.768758618,1034.85,120,2.5,0,0,8.333333333,2.5,0.833333333,4,4,5,4,1,2,11,1,1,4,1,4,1466.2,1207.825,920.25,703.5,1466.2,1189.487179,920.25,671.3947368,0,1,0,2,1,1,7,7,2,3,3
2003,2,2,3,-0.767428042,881.5083333,120,8.333333333,0.833333333,2.5,1.666666667,0.833333333,0.833333333,1,3,5,5,2,3,1,1,1,2,1,0,718,672.025,1037.3,1094.85,718,666.6410256,1037.3,977.2903226,0,1,0,9,1,1,4,4,7,6,3
1966,2,2,6,-0.767367036,902.475,120,0.833333333,0,0,3.333333333,0.833333333,0.833333333,5,3,4,3,2,4,11,1,2,5,2,0,1375.35,856.425,914.15,706.25,1233.473684,856.425,914.15,706.25,1,0,0,0,14,1,8,8,6,7,1
2000,1,2,6,-0.765950822,1220.341667,120,36.66666667,74.16666667,75,2.5,1.666666667,1.666666667,4,4,5,4,2,11,1,1,2,2,1,0,1363.789474,253.35,97.9,84.7,1387,221.0416667,69.72727273,54.40909091,1,16,9,18,1,1,4,4,3,5,1
1995,1,2,3,-0.765506976,1258.658333,120,5.833333333,0,0,15,3.333333333,1.666666667,4,4,4,5,2,1,1,1,1,2,1,0,1168.15,878.05,1776.8,1425.45,1168.15,821.4722222,1776.8,1336.378378,0,4,0,3,1,1,7,7,6,8,3
2000,1,2,6,-0.763800701,1027.308333,120,10,0,0,8.333333333,2.5,0.833333333,6,3,2,4,2,8,1,1,1,2,1,1,798.05,750.2,1338.6,1263.4,798.05,732.8108108,1126.9375,1256.057143,0,3,4,5,1,1,5,5,7,7,1
1997,2,1,8,-0.756859726,783.5166667,120,11.66666667,0,0.833333333,1.666666667,0,0,6,2,4,5,2,4,5,1,1,2,1,0,727.6,623.675,1049.5,838.325,710,587.2631579,1041.125,810.2121212,1,2,4,7,1,1,6,6,4,7,1
2000,2,2,6,-0.756770441,966.875,120,8.333333333,0,0.833333333,5,0.833333333,0,4,4,5,5,2,2,2,1,1,2,1,0,843.5,728,1046.7,1227.525,822.1578947,717.6315789,991.5,1067.142857,1,2,2,5,1,1,5,5,3,7,2
