birthyear,birthSex,ethnicityomb,raceomb_002,dscore,assocareer,assofamily,impcareer,impfamily,num_childunder18,anninc,percentanninc,primary1,num_primary1a,secondary1,num_secondary1a,surnameused,countrycit_num,countryres_num,edu,politicalid_7,religion2014,religionid
1976,2,2,6,-0.727656559,2,5,4,3,2,4,4,1,1,2,1,4,1,1,8,7,3,4
1976,2,2,6,-0.726133601,6,6,4,5,1,11,8,1,1,2,1,4,1,1,12,3,2,4
1967,1,1,6,-0.724953306,3,3,3,5,2,7,8,1,1,2,1,0,1,1,7,3,2,2
1998,1,2,6,-0.724322627,4,4,4,5,2,5,7,1,1,2,1,0,1,1,6,2,3,4
1967,2,2,6,-0.723319473,4,4,4,4,2,6,6,1,2,2,1,0,1,1,4,6,7,1
,1,,,-0.720759188,6,2,4,4,2,1,1,,,2,1,1,,,,,8,
1994,2,2,5,-0.720526612,,4,5,5,,,,1,1,,,,1,1,9,4,2,3
1989,1,2,6,-0.719317444,4,4,4,3,2,4,11,1,1,2,1,1,1,1,7,4,7,1
1971,1,2,,-0.719212582,7,7,5,5,1,3,,1,1,2,1,0,1,1,5,4,2,3
1975,1,2,6,-0.718609403,4,4,3,4,1,,9,1,2,2,2,0,39,39,8,6,7,1
1985,1,2,7,-0.713796287,5,6,5,5,,,,,,,,,65,224,,4,6,3
1945,1,2,6,-0.713273025,4,7,5,5,2,7,10,1,2,2,1,0,1,1,9,6,5,4
1999,1,2,6,-0.708068539,6,4,3,5,2,6,1,1,2,2,1,0,1,1,5,5,7,1
2007,1,2,5,-0.707811886,6,,5,5,1,5,1,1,2,4,1,,17,17,,4,3,3
1965,2,2,6,-0.70780579,4,4,,,2,4,11,2,1,6,1,1,1,1,9,7,7,1
2005,2,3,6,-0.706774887,4,3,5,5,2,11,1,1,1,2,1,0,1,1,3,7,8,2
1979,2,2,2,-0.704248396,6,1,4,5,1,10,1,1,1,2,1,4,1,1,7,7,7,1
2006,2,,6,-0.703335434,4,4,5,5,2,11,1,1,1,2,1,1,1,1,1,7,7,1
1999,2,2,6,-0.701458766,3,4,3,4,2,,,,,,,0,1,1,5,7,8,1
1987,2,2,6,-0.701137169,4,4,5,5,1,5,7,1,1,2,1,0,39,39,5,4,3,3
2005,1,2,2,-0.700136456,6,6,4,5,2,7,1,1,2,2,1,1,1,1,3,6,7,2
2000,2,2,6,-0.69902958,4,4,4,4,2,1,2,1,1,5,1,0,1,1,5,5,3,4
1997,1,2,2,-0.698611821,5,4,5,5,2,6,2,1,1,2,1,1,1,1,5,4,3,1
1982,1,2,6,-0.697948252,4,4,5,5,1,9,9,1,2,2,1,0,1,1,7,4,2,2
1956,2,2,6,-0.696505545,4,4,3,3,2,,,1,2,2,1,4,1,1,12,6,7,1
1990,2,,,-0.69587581,4,4,5,5,2,,6,1,1,2,1,0,100,100,13,6,7,1
1971,1,2,6,-0.69453476,4,5,4,5,1,6,2,2,2,1,2,0,1,1,14,2,2,3
1956,2,2,6,-0.69412389,4,4,5,4,2,8,11,1,2,7,,4,1,1,9,6,7,1
1996,1,1,6,-0.69412188,4,4,3,3,2,4,6,1,1,4,1,0,1,1,4,2,3,2
1992,2,2,6,-0.693718871,4,4,5,5,2,2,11,7,,7,,0,1,1,8,4,7,1
1989,1,2,6,-0.69082091,4,4,5,5,1,11,10,1,2,6,2,0,1,1,9,5,3,2
1992,1,2,6,-0.690202457,2,4,5,5,2,7,11,1,2,2,1,0,1,1,10,5,3,3
1970,1,,,-0.689744684,4,4,3,5,1,11,11,1,2,2,1,0,1,1,7,6,7,1
1981,2,2,6,-0.688330775,1,4,5,5,1,11,8,1,1,2,1,0,1,1,7,6,3,1
1999,2,2,6,-0.686687274,4,4,4,4,2,11,1,1,1,2,2,0,1,1,5,6,3,3
1999,1,1,7,-0.684938751,,,1,5,2,,,,,,,,1,1,5,,3,
1971,1,2,,-0.684220934,5,5,1,1,2,11,11,1,2,2,1,1,100,1,9,6,4,3
,2,,,-0.684203728,4,4,5,5,2,2,11,1,1,2,1,0,,,,,,
1978,2,2,6,-0.683909681,4,4,4,4,2,6,11,1,1,2,1,0,1,1,12,7,7,1
1993,2,1,6,-0.681825041,4,4,4,5,2,4,3,6,2,1,1,4,53,53,7,7,7,1
1985,1,2,,-0.679192632,4,4,3,5,1,6,8,6,2,1,1,1,22,153,9,4,6,4
1985,2,1,6,-0.676851077,4,4,3,5,2,,7,1,2,2,1,1,11,11,4,4,2,2
2000,2,2,6,-0.676476486,4,4,5,4,2,7,1,1,2,2,1,0,1,1,5,7,7,1
1988,2,2,2,-0.675913191,4,4,3,3,2,8,3,5,2,5,2,1,192,192,7,4,7,1
1989,2,2,5,-0.675854602,4,4,5,5,2,3,7,2,1,2,1,0,158,1,14,4,2,3
1997,2,2,6,-0.675515504,5,4,4,4,2,5,11,1,1,2,1,0,1,1,7,7,2,2
1996,2,3,6,-0.67535669,2,4,5,3,2,3,8,5,1,1,1,4,1,1,8,6,7,1
1997,2,1,6,-0.674461546,4,4,4,4,2,3,3,1,2,2,1,1,1,1,5,7,7,1
1992,2,2,6,-0.672926058,4,3,4,4,2,1,2,1,1,2,1,0,1,1,10,6,2,2
2002,2,2,3,-0.671252299,4,1,5,5,2,,1,1,1,2,1,0,1,1,3,6,4,3
1996,1,2,6,-0.670663931,4,5,3,4,2,1,1,6,1,6,1,0,1,1,8,4,2,4
1958,2,2,6,-0.670079951,4,1,4,4,2,6,6,1,2,2,1,4,1,1,12,7,7,1
1997,2,2,6,-0.669012872,4,4,3,4,2,4,6,1,1,2,1,0,225,225,4,7,8,2
1953,2,2,6,-0.666915065,4,4,5,5,2,8,9,1,1,5,2,0,1,1,9,5,2,3
1995,2,2,3,-0.666036006,4,4,5,5,2,2,7,1,1,4,1,4,1,1,8,,7,1
2002,2,1,7,-0.665970498,4,4,5,5,2,1,1,1,2,2,1,3,1,1,4,6,7,2
1985,1,2,6,-0.664601395,4,4,3,4,1,3,3,1,1,7,,1,1,1,7,6,7,1
1988,1,3,6,-0.664325482,4,4,4,5,2,6,6,1,1,2,1,1,44,44,9,6,7,1
1998,2,2,7,-0.661633198,4,4,3,5,2,6,1,1,1,2,1,0,108,1,5,4,8,1
1983,2,2,3,-0.66061855,1,4,5,5,1,11,5,1,1,2,1,4,1,1,14,7,4,
,,,,-0.65975929,1,,,,,,,,,,,,,,,,,
1970,1,2,6,-0.654153362,4,4,3,5,2,11,5,1,2,5,2,0,1,1,13,4,3,2
1995,2,2,6,-0.65288717,4,4,4,4,2,11,1,7,,7,,0,1,1,7,5,7,1
1996,1,2,5,-0.65178887,4,4,5,5,2,1,1,1,1,2,1,0,70,1,4,4,6,3
,2,,,-0.649444892,4,3,4,4,2,7,1,1,1,2,1,0,1,1,,6,2,2
1978,1,2,6,-0.648875847,4,4,4,3,2,5,6,1,1,2,1,1,1,1,5,6,7,1
1968,2,2,6,-0.648829624,4,4,4,5,1,11,8,1,2,2,1,0,1,1,9,5,2,3
1987,1,2,6,-0.647541752,5,2,4,5,2,7,9,1,1,2,1,0,1,1,7,7,2,1
1978,2,2,6,-0.646896454,4,4,4,4,2,11,6,5,1,5,1,0,1,1,10,6,7,1
1997,1,2,7,-0.644524289,4,4,3,5,2,1,2,7,,7,,0,1,1,7,6,7,2
1997,2,2,6,-0.644429493,1,4,5,5,2,10,1,7,,7,,0,1,1,13,5,7,2
1997,2,2,6,-0.644207174,4,4,5,3,2,2,11,1,1,5,1,0,1,1,7,7,7,1
,,,,-0.643461108,,,,,,,,,,,,,,,,,,
,,,,-0.641651364,4,2,4,4,2,8,8,1,1,2,1,4,,,,,,
1988,2,2,,-0.641322531,4,4,5,2,2,7,8,7,,7,,0,1,1,6,6,7,1
1995,2,2,6,-0.640816558,4,4,5,5,2,11,6,7,,7,,0,1,1,7,3,7,2
1993,1,1,6,-0.640383776,1,6,4,5,2,2,11,1,1,2,1,1,1,1,8,7,,
1990,2,2,7,-0.640078306,4,4,5,4,2,4,2,1,2,2,1,0,146,225,9,4,6,2
2001,2,2,6,-0.63778412,4,4,5,5,2,5,,,,,,0,1,1,5,6,,
1994,2,2,6,-0.635878137,4,4,5,2,2,2,11,1,2,5,2,0,1,1,7,6,3,2
1992,2,2,6,-0.635567637,5,4,4,4,2,2,11,1,1,2,1,0,1,1,7,4,7,1
1993,2,2,6,-0.634211308,4,4,4,4,2,2,11,1,1,2,1,0,1,1,9,7,7,1
1996,2,2,3,-0.630881519,4,3,4,4,2,7,1,1,2,2,1,0,1,1,8,6,4,2
1955,2,,6,-0.630478251,4,1,5,5,2,,,1,1,2,1,3,1,1,7,1,3,3
1992,2,,,-0.62970559,7,4,5,5,2,11,11,,,,,4,222,222,7,4,3,3
1984,1,2,6,-0.626370096,1,5,5,5,1,4,9,1,1,2,1,0,1,1,5,5,5,3
1986,1,,,-0.625845898,4,4,3,3,2,3,,1,1,5,2,0,1,1,,,,
1971,2,3,7,-0.625646171,5,2,2,4,2,1,4,1,1,2,1,0,1,1,9,,8,3
1984,2,2,5,-0.622293591,1,1,5,5,1,2,11,1,1,2,1,0,1,1,7,7,8,3
,2,2,3,-0.622097731,4,4,5,5,1,7,4,1,1,4,1,2,1,1,7,7,6,4
1989,2,2,6,-0.621264544,4,4,4,5,2,2,11,1,1,5,2,0,1,1,6,3,8,
1971,1,3,3,-0.620308895,3,4,3,4,1,2,11,1,2,2,1,0,164,164,14,4,6,3
1980,2,2,6,-0.618671086,4,3,4,5,1,6,6,1,2,2,1,4,1,1,9,3,2,3
2001,1,2,3,-0.618643716,5,4,4,5,2,10,1,1,1,2,1,0,1,1,4,2,2,2
1996,1,2,5,-0.6185572,6,6,5,5,2,1,2,1,1,2,1,0,83,83,7,4,3,4
1987,2,2,6,-0.618432541,4,4,4,5,1,1,11,1,1,2,1,0,1,1,5,4,3,3
1961,2,,8,-0.617835828,,,,,,,,,,,,,,,,,,
1985,1,2,6,-0.617677762,4,3,4,4,1,10,9,7,,2,1,,1,1,7,4,7,1
1978,1,2,2,-0.61702739,4,4,3,4,2,8,11,1,1,2,1,0,1,1,9,4,3,2
1982,2,2,6,-0.615587046,4,3,5,5,1,11,7,1,2,2,1,4,1,1,6,3,3,2
,2,2,6,-0.614610647,4,4,4,4,2,1,11,1,1,2,1,1,82,,9,6,7,1
1979,1,2,6,-0.614365024,4,4,5,4,2,7,11,2,1,1,1,1,1,1,12,7,7,1
,2,,,-0.613975677,2,4,3,4,2,4,6,1,1,2,1,1,1,1,7,6,8,2
1997,1,2,2,-0.613636762,4,4,4,4,2,5,1,2,1,1,1,0,1,1,7,5,7,1
1964,2,2,,-0.613553521,4,4,4,5,2,,6,1,1,2,1,4,1,1,,5,3,2
1972,2,2,6,-0.613461634,6,1,5,5,1,4,11,1,1,2,1,1,1,1,7,6,7,1
1978,1,2,6,-0.61142555,4,3,4,5,1,6,10,1,1,2,1,0,1,39,12,5,7,1
2001,2,2,5,-0.610260869,3,4,5,5,2,1,1,1,1,2,1,0,1,1,4,4,3,2
1990,2,2,6,-0.609485227,5,3,5,2,2,6,11,1,1,7,,4,1,1,10,5,7,1
2004,2,2,6,-0.609017202,4,4,5,5,2,11,1,1,1,2,1,1,1,1,2,4,2,2
1989,1,2,6,-0.608980936,4,4,5,5,1,8,8,5,2,5,2,0,1,1,7,6,3,2
1973,2,2,6,-0.60886193,4,4,4,5,1,5,9,2,1,5,2,4,1,1,7,2,3,3
1963,1,3,5,-0.608516661,4,4,4,5,2,5,11,1,2,2,1,0,1,1,9,6,7,1
1993,2,2,6,-0.607317023,6,5,4,4,2,4,6,1,2,2,1,0,1,1,8,4,7,2
1987,1,2,6,-0.606601314,4,4,3,3,2,6,10,1,1,4,1,1,1,1,4,7,7,1
1997,2,2,2,-0.60526812,4,3,5,5,2,1,1,1,1,2,1,0,1,1,7,5,2,2
1998,2,3,2,-0.605267272,6,2,4,4,2,4,2,2,1,1,1,1,45,45,7,3,8,1
1982,1,,6,-0.601048682,4,4,4,5,1,6,11,1,1,2,1,0,39,39,7,2,3,4
2005,2,1,6,-0.600846444,5,4,5,5,2,8,1,2,1,1,1,1,1,1,3,6,5,3
1976,1,2,6,-0.598872157,4,3,4,4,1,11,11,1,1,2,1,0,14,14,12,3,7,1
1983,1,2,6,-0.597968137,6,4,2,5,1,11,11,1,2,2,1,0,225,225,7,1,7,1
1987,1,2,6,-0.597241773,5,5,4,4,2,3,2,1,2,2,1,0,1,1,9,5,5,3
1993,1,2,6,-0.597170595,4,4,5,4,2,1,11,1,1,2,1,1,1,1,7,5,7,1
